"Any_Liquidat","Tipologia_operacions","Imports_Milions€"
2019,"Resultat (Capacitat o Necessitat de Finançament)",65
2020,"Ingressos corrents SEC",2603
2020,"Despeses corrents SEC",2334
2020,"Ingressos de capital SEC",18
2020,"Despeses de capital SEC",336
2020,"Ingressos no financers SEC",2621
2020,"Despeses no financeres SEC",2670
2020,"Resultat (Capacitat o Necessitat de Finançament)",-49
2021,"Ingressos corrents SEC",2781
2021,"Despeses corrents SEC",2346
2021,"Ingressos de capital SEC",21
2021,"Despeses de capital SEC",520
2021,"Ingressos no financers SEC",2802
2021,"Despeses no financeres SEC",2866
2021,"Resultat (Capacitat o Necessitat de Finançament)",-65
